alpha: ,gamma: , epsilon: , Win rate, Loss Rate ,,,,
0.02,1,0.88,0.405117647,0.509465241,,,,
0.02,1,0.89,0.405135638,0.509458511,,,,
0.02,1,0.9,0.405155556,0.509440741,,,,
0.02,1,0.91,0.405247368,0.509347368,,,,
0.02,1,0.92,0.405267539,0.50932356,,,,
0.02,1,0.93,0.405368229,0.509229167,,,,
0.02,1,0.94,0.405351813,0.509266839,,,,
0.02,1,0.95,0.405397423,0.509204639,,,,
0.02,1,0.96,0.405398974,0.509178462,,,,
0.02,1,0.97,0.405463776,0.50912602,,,,
0.02,1,0.98,0.405540609,0.50903401,,,,
0.02,1,0.99,0.40559798,0.509004545,,,,
0.03,1,0.01,0.405582412,0.509056784,,,,
0.03,1,0.02,0.405464,0.5091945,,,,
0.03,1,0.03,0.405349751,0.509279104,,,,
0.03,1,0.04,0.405279703,0.50935495,,,,
0.03,1,0.05,0.40511133,0.509535961,,,,
0.03,1,0.06,0.405029412,0.509659804,,,,
0.03,1,0.07,0.405043415,0.509661463,,,,
0.03,1,0.08,0.404999515,0.509720388,,,,
0.03,1,0.09,0.404986957,0.509735266,,,,
0.03,1,0.1,0.404835096,0.509914904,,,,
0.03,1,0.11,0.404760766,0.510001914,,,,
0.03,1,0.12,0.404658095,0.510134286,,,,
0.03,1,0.13,0.40464455,0.510145498,,,,
0.03,1,0.14,0.404632547,0.510170283,,,,
0.03,1,0.15,0.404587793,0.510196714,,,,
0.03,1,0.16,0.40456729,0.510196729,,,,
0.03,1,0.17,0.404524651,0.51025814,,,,
0.03,1,0.18,0.404437037,0.5103625,,,,
0.03,1,0.19,0.404343779,0.510513825,,,,
0.03,1,0.2,0.404234862,0.510659633,,,,
0.03,1,0.21,0.404211872,0.510694521,,,,
0.03,1,0.22,0.404127273,0.510779545,,,,
0.03,1,0.23,0.404104977,0.510785068,,,,
0.03,1,0.24,0.404054505,0.510817568,,,,
0.03,1,0.25,0.404007623,0.510855605,,,,
0.03,1,0.26,0.403971429,0.510892857,,,,
0.03,1,0.27,0.403955556,0.510890222,,,,
0.03,1,0.28,0.403969027,0.510872566,,,,
0.03,1,0.29,0.403911454,0.510953744,,,,
0.03,1,0.3,0.403891667,0.510968421,,,,
0.03,1,0.31,0.403896943,0.510951092,,,,
0.03,1,0.32,0.403817391,0.511060435,,,,
0.03,1,0.33,0.403817749,0.511066667,,,,
